시군구,도로명코드,도로명,영문도로명,읍면동일련번호,시도명,시군구명,읍면동구분,읍면동코드,읍면동명,상위도로코드,상위도로명,폐지구분,변경이력사유,변경이력정보,영문시도명,영문시군구명,영문읍면동명,고시일자,말소일자
11710,4169329,송파대로22길,Songpa-daero 22-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169330,송파대로24길,Songpa-daero 24-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169330,송파대로24길,Songpa-daero 24-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169331,송파대로26길,Songpa-daero 26-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169331,송파대로26길,Songpa-daero 26-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169332,송파대로27길,Songpa-daero 27-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169332,송파대로27길,Songpa-daero 27-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169333,송파대로28길,Songpa-daero 28-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169333,송파대로28길,Songpa-daero 28-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169334,송파대로30길,Songpa-daero 30-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169334,송파대로30길,Songpa-daero 30-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169335,송파대로32길,Songpa-daero 32-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169335,송파대로32길,Songpa-daero 32-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169336,송파대로34가길,Songpa-daero 34ga-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169336,송파대로34가길,Songpa-daero 34ga-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169337,송파대로34길,Songpa-daero 34-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169337,송파대로34길,Songpa-daero 34-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169338,송파대로36가길,Songpa-daero 36ga-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169338,송파대로36가길,Songpa-daero 36ga-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169339,송파대로36길,Songpa-daero 36-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169339,송파대로36길,Songpa-daero 36-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169340,송파대로37길,Songpa-daero 37-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169340,송파대로37길,Songpa-daero 37-gil,1,서울특별시,송파구,1,105.0,석촌동,,,0,,,Seoul,Songpa-gu,Seokchon-dong,20100604.0,
11710,4169340,송파대로37길,Songpa-daero 37-gil,2,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
